ProtA	ProtB	ELMA	ELMB	Degree	Score	Fusion	Phylogenetic_profiling	Homology	Co-expression	Experiment	Database	Textmining	Neighborhood	STRING_Degree	Sim_CC	Sim_BP	Sim_MF	ClassLabel
P02406	Q12690	9	22	119	0.999	0	0	0	0.996	0.962	0	0.048	0	10	0	0.612717700806	0	ob
P10153	P13489	18	13	44	0.862	0	0	0	0	0.8	0	0.341	0	10	-0.0	0.196117765027	-0.0	nob
P01241	P10912	29	23	142	0.997	0	0	0	0	0.866	0.9	0.845	0	10	0.66909398061	0.928474065605	0.0151446123989	nob
P0A734	P0AEZ3	28	16	15	0.999	0	0.778	0	0.582	0.997	0	0.959	0.88	14	0.612083086352	0.124861284233	0.380429111985	nob
O15392	Q5FBB7	13	25	121	0.94	0	0	0	0.236	0	0.9	0.282	0	10	0.350880134532	0.663796657095	0.242362391951	nob
P29353	P62993	32	15	1157	0.999	0	0	0	0.056	0.92	0.9	0.982	0	10	0.197523432112	0.208234049197	0.828731307011	nob
P11940	Q71RC2	29	15	295	0.754	0	0	0	0.072	0.545	0	0.464	0	10	0	0.642370328027	0.754969895809	nob
P12004	P38936	15	13	700	0.997	0	0	0	0	0.798	0.9	0.899	0	10	0.365604975516	0.928474065605	0.363218091357	nob
P20433	P34087	18	25	131	0.999	0	0	0	0.133	0.997	0.9	0.973	0	10	0.598225797154	1.0	1.0	ob
P25443	P32905	17	15	142	0.999	0	0	0	0.998	0.924	0.949	0.506	0.096	10	0	0.736072782622	1.0	ob
P52272	Q92973	15	21	353	0.486	0	0	0	0.056	0.41	0	0.15	0	10	0	0.196117765027	0.241163816843	nob
P11940	Q9HCJ0	29	17	307	0.984	0	0	0	0.054	0.966	0	0.541	0	10	0.469390151542	0	0.0151446123989	nob
Q13114	Q92844	17	9	231	0.968	0	0	0	0.047	0.354	0.9	0.542	0	10	0	0	1.0	nob
P83916	Q5FBB7	11	25	132	0	0	0	0	0	0	0	0	0	10	0	0.520744788305	0.242362391951	nob
P22059	Q9P0L0	7	22	321	0.991	0	0	0	0.053	0.678	0.9	0.766	0	10	-0.0	0.410740403099	0.367038535268	nob
P10275	Q13772	15	19	379	0.971	0	0	0	0	0.866	0	0.795	0	10	0.329024221745	0.0659936609415	0	nob
P49687	Q04491	25	16	170	0.999	0	0	0	0.042	0.997	0.9	0.92	0	10	0.377721041489	0.834681815052	0.349451328859	ob
P0AAJ3	P24183	20	18	1	0.999	0	0.778	0	0.647	0.698	0.9	0.704	0.883	14	0.721256474879	1.0	1.0	ob
P62805	Q9NQR1	23	12	334	0.801	0	0	0	0.089	0.8	0	0.005868	0	23	0.146607994144	0.0818470781615	0.0151446123989	nob
P04819	P15873	29	22	104	0.999	0	0	0	0.602	0.994	0.9	0.972	0	10	0.922748150699	0.117508290539	-0.0	nob
O15164	P68431	13	26	536	0.515	0	0	0	0.075	0.46	0.9	0.137	0	19	0.074151828431	0.111405900328	0.523996724343	nob
P39078	P47079	18	8	130	0.999	0	0	0	0.979	0.983	0.9	0.240198	0	10	0.494140562128	0.775036565185	1.0	ob
P23638	P25451	18	16	128	0.999	0	0.0735	0	0.948	0.997	0.958	0.414	0	11	1.0	0.725590945757	0.0640990230188	ob
P05055	P21513	19	22	13	0.62	0	0.173	0	0.127	0.529	0.9	0.128	0.067	14	0	0.108938323259	0.581659539949	nob
O14893	Q16637	33	25	401	0.993	0	0	0	0.056	0.94	0.9	0.00434	0	11	0.641030982614	0.87790081808	0.0151446123989	nob
P32499	Q02821	22	33	398	0.999	0	0	0	0.089	0.972	0.636	0.914	0	10	0	0.177801898894	0.343695925118	nob
P00533	P22681	15	12	1398	0.995	0	0	0	0	0.785	0.9	0.822	0	10	0	0.208234049197	0.397744942754	nob
P01903	P04229	19	20	50	0	0	0	0	0	0	0	0	0	9	0	0.602702842206	0.698502972593	ob
P39077	P47079	14	8	169	0.999	0	0.072819	0	0.982	0.997	0.9	0.226809	0	10	0.494140562128	0.775036565185	1.0	ob
O14646	P68431	33	26	500	0.618	0	0	0	0.09	0.265	0.9	0.502	0	19	0	0.176552540083	0.523996724343	nob
P03372	Q15596	7	26	855	0.997	0	0	0	0	0.941	0.9	0.639	0	10	0	0.111405900328	0.522340763563	nob
P06710	P28631	17	11	36	0.999	0	0.102575	0	0.247	0.999	0.8	0.312201	0.357	14	0	0.745921597492	0.102886619617	ob
P04637	Q00987	23	28	1680	0.999	0	0	0	0.158	0.791	0.9	0.976	0	10	0.920644611288	0.307219941542	1.0	nob
Q07869	Q15788	22	27	180	0.995	0	0	0	0	0.939	0.9	0.366	0	10	0.289436271185	0.129736483021	0.376626742024	nob
P32585	P38304	20	22	161	0.998	0	0	0	0	0.972	0.9	0.626	0	10	0.307481785553	0.696144284407	0.490758429886	nob
Q9NTG7	Q9NUB1	8	14	76	0.979	0	0	0	0	0.362	0.9	0.701	0	10	0.0490000723033	0.269560034884	0.0151446123989	nob
P62805	Q16576	23	21	481	0.801	0	0	0	0.089	0.8	0	0.005868	0	23	0.163737920975	0.247753286124	0.0151446123989	nob
P08238	P31948	12	9	962	0.999	0	0	0	0.966	0.976	0	0.766	0	10	0	0.230032500835	0.241163816843	nob
P0CX55	P39015	23	27	206	0.811	0	0	0	0.811	0	0	0	0	10	0	0	0	ob
P02916	P68183	14	14	4	0.999	0	0.778	0	0.865	0.986	0.9	0.924	0.865	14	1.0	1.0	1.0	ob
P19793	Q9Y618	27	18	265	0.995	0	0	0	0	0.934	0.9	0.326	0	10	0.3638230621	0.459103544489	0.301505855981	nob
P0CX23	P36105	23	17	55	0.997	0	0	0	0.912	0.868	0.8	0.622	0	11	0	0.612717700806	0	ob
Q9Y230	Q9Y265	15	17	538	0.999	0	0.036156	0	0.791	0.989	0.9	0.066447	0	10	0.706350167761	0.833921923416	0.709819934058	ob
O60494	P27352	22	28	18	0.987	0	0	0	0	0.36	0.9	0.822	0	10	0	0.534523907512	0.00868784136971	ob
Q16548	Q16611	13	17	72	0.964	0	0	0	0	0.867	0	0.739	0	10	0	0	0.0151446123989	nob
P02452	P02751	13	15	804	0.831	0	0	0	0.146	0.672	0	0.446	0	10	0.431027814474	0.616796086802	0.750180418479	nob
P36941	Q13114	12	17	225	0.962	0	0	0	0	0.378	0.9	0.441	0	10	0	0	1.0	nob
O00499	P01106	10	19	723	0.735	0	0	0	0	0.36	0	0.603	0	10	0.651255028344	0.0198939336995	0.37511728094	nob
P20226	P52657	18	22	198	0.999	0	0	0	0.086	0.982	0.9	0.883	0	10	0.777221258907	0.886634076156	0.430480827809	ob
P05556	P08648	8	24	163	0.995	0	0	0	0.056	0.633	0.9	0.874	0	10	0.671823278928	0.624637080966	0.0151446123989	ob
P02829	P38825	19	19	787	0.687	0	0	0	0.068	0.521	0	0.354	0	10	0	0.068652756564	0	nob
Q16665	Q9GZT9	17	20	231	0.995	0	0	0	0	0.565	0.9	0.905	0	10	0.874224684661	0.13189036997	0.0151446123989	nob
P19429	P63316	29	15	35	0.997	0	0	0	0.211	0.914	0.9	0.712	0	10	0.0566547681034	0.799201316023	1.0	ob
P03372	Q8WTS6	7	7	828	0.499	0	0	0	0	0.395	0	0.206	0	10	0.163737920975	0.176552540083	0.0151446123989	nob
Q5TBB1	Q8TDP1	11	21	47	0.999	0	0	0	0.104	0.873	0.9	0.946	0	10	0.547639390337	0.886634076156	0	ob
P05748	P17076	18	23	146	0.999	0	0	0	0.998	0.966	0	0.295	0	10	0	0.612717700806	0	ob
P18206	Q9Y490	13	9	201	0.999	0	0	0	0.062	0.993	0.9	0.796	0	10	0	0.384617586493	0.397744942754	nob
P62877	Q13616	16	22	897	0.999	0	0	0	0.055	0.972	0.9	0.908	0	10	0.68996717813	0.659902228467	0.450928201055	ob
P13498	P14598	17	26	63	0.999	0	0	0	0.097	0.665	0.9	0.972	0	10	0.210659386108	0.799201316023	0.618659036084	nob
Q04206	Q8TBK2	21	27	418	0.691	0	0	0	0	0.36	0	0.537	0	10	0.074151828431	0.13189036997	0.653288933119	nob
P30464	P51965	27	26	158	0	0	0	0	0	0	0	0	0	9	0	0.0461233151169	0	nob
O75533	Q96I25	11	24	271	0.978	0	0	0	0.124	0.618	0.9	0.43	0	10	0	0.139730863604	0.0151446123989	nob
P08709	P13726	17	22	29	0.999	0	0	0	0	0.916	0.9	0.974	0	10	1.0	0.928474065605	0.639764184332	ob
P00968	P0A6F1	18	26	10	0.999	0.899	0.782	0	0.98	0.991	0.966	0.635	0.861	14	0	1.0	0.102886619617	ob
P56524	P61981	13	20	749	0.468	0	0	0	0.059	0.457	0	0	0	10	0	0.0277533610285	0.242362391951	nob
P05412	P15336	23	13	513	0.989	0	0	0	0.096	0.848	0.9	0.313904	0	10	0.291532709483	0.376566306184	1.0	ob
P38862	P40344	20	28	41	0.999	0	0	0	0.224	0.997	0.9	0.97	0	10	1.0	0.275937008718	0.0640990230188	nob
P02686	Q30154	19	15	99	0	0	0	0	0	0	0	0	0	10	0	0.0198939336995	0	nob
P20248	P46527	12	17	234	0.997	0	0	0	0.055	0.954	0.9	0.445	0	10	0.559213442539	0.391116504701	0.985366447201	nob
P53779	Q9UQF2	29	20	94	0.949	0	0	0	0.105	0.169	0.8	0.697	0	10	0	0.0198939336995	0.0151446123989	nob
P30443	P43355	28	21	98	0	0	0	0	0	0	0	0	0	9	0.207231416674	0.0277533610285	0.0151446123989	nob
P28482	Q9BUB5	26	20	334	0.992	0	0	0	0.089	0.897	0.9	0.228592	0	10	0.465028266804	0.0818470781615	0.4208439103	nob
P43487	P62826	21	15	227	0.999	0	0	0	0.542	0.988	0.9	0.753	0	10	0	0.0659936609415	0.397744942754	ob
P04271	P52907	11	18	170	0.933	0	0	0	0	0.36	0.9	0	0	10	0	0.0716344849992	0.0151446123989	nob
P68431	Q96T88	26	14	536	0.9	0	0	0	0.09	0.133	0.9	0.000451	0	18	0.328698515619	0.459103544489	0.523996724343	nob
P46100	P84243	16	27	213	0.693	0	0	0	0.122	0.458	0.9	0.456	0	11	0.663243755442	0.459103544489	0.523996724343	nob
P21333	Q8WUP2	10	24	356	0.999	0	0	0	0.054	0.966	0.9	0.759	0	10	0	0.41177059579	0.37846682053	nob
P01112	P20936	20	10	222	0.996	0	0	0	0.104	0.873	0.9	0.756	0	10	0.424837894813	0	0.359271462707	nob
P00734	P12259	19	14	34	0.984	0	0	0	0.113	0.443	0.9	0.725	0	10	0	0.195557262214	0.0151446123989	nob
P16370	P38902	16	16	348	0.999	0	0	0	0.179	0.999	0.924	0.93	0	10	0	0.752991630302	1.0	ob
P0C0W1	P25443	20	17	138	0.999	0	0	0	0.999	0.924	0.949	0.499	0.321	10	0	0.736072782622	1.0	ob
P01112	Q07889	20	9	196	0.994	0	0	0	0.053	0.884	0.9	0.583	0	10	0	0.0659936609415	0.0151446123989	nob
P07992	P23025	20	17	98	0.999	0	0	0	0.054	0.989	0.9	0.969	0	10	0.368791659897	0.410059277782	0.641668466206	nob
Q96AY2	Q96NY9	25	35	63	0.999	0	0	0	0.068	0.933	0.9	0.975	0	10	0	0	0.0151446123989	ob
O94829	P63279	8	19	610	0.952	0	0	0	0.054	0.874	0	0.634	0	10	-0.0	0	0.0151446123989	nob
P60953	Q9NQU5	15	24	306	0.995	0	0	0	0.054	0.759	0.9	0.817	0	10	0	0.341878942943	0.0151446123989	nob
P22681	Q9C004	12	18	310	0.944	0	0	0	0	0.357	0.9	0.21	0	10	0	-0.0	0.0151446123989	nob
P05386	P05387	16	18	281	0.999	0	0	0	0.975	0.994	0.9	0.823	0	10	0	0.734138945971	0.704954355191	ob
P01903	P60174	19	21	141	0.846	0	0	0	0	0.846	0	0	0	10	0	0.196117765027	0.0151446123989	nob
P25791	Q86U70	16	22	329	0.995	0	0	0	0.07	0.967	0	0.853	0	10	0.193859579417	0.498515419303	1.0	nob
P48415	Q04491	25	16	151	0.994	0	0	0	0	0.972	0	0.791	0	10	0.0200760321818	0.763554294975	0.0640990230188	ob
Q15554	Q9H816	19	29	315	0.986	0	0	0	0	0.953	0	0.729	0	10	0	0.535664141333	1.0	nob
P01834	P18465	21	24	8	0	0	0	0	0	0	0	0	0	0	0	0	0	nob
P11142	P25685	17	24	673	0.999	0	0.387	0	0.436	0.552	0.924	0.919	0.309	10	0.682578445152	0.196117765027	0.808243584928	nob
O95630	Q9Y3E7	24	15	132	0.925	0	0	0	0.061	0.56	0	0.832	0	10	0	0.196117765027	0.0151446123989	nob
O15169	P25054	16	14	363	0.997	0	0	0	0.067	0.924	0.9	0.695	0	10	0.336434701446	0.773268152311	1.0	nob
P23639	P25043	16	11	131	0.999	0	0	0	0.981	0.997	0.958	0.551	0	11	1.0	0.725590945757	0.0640990230188	ob
P01031	P13671	16	22	21	0.99	0	0	0	0.22	0.866	0.9	0.193	0	10	0	0.815108141761	0.0151446123989	ob
P29074	Q12879	11	12	60	0	0	0	0	0	0	0	0	0	10	0	0.208234049197	0.0151446123989	nob
O60880	Q13291	21	29	149	0.996	0	0	0	0.089	0.88	0.8	0.846	0	10	0.173370983061	-0.0	0.0151446123989	nob
P35269	Q9Y5B0	14	12	164	0.999	0	0	0	0.103	0.966	0.9	0.893	0	10	0	0.139730863604	0.376626742024	nob
P07766	P43405	16	19	164	0.949	0	0	0	0.109	0.365	0.9	0.204	0	10	0	0.743582207366	0.0151446123989	nob
P36897	P37173	18	10	284	0.982	0	0	0	0.095	0.779	0.9	0.176064	0	10	0.815742493469	0.498515419303	0.828731307011	ob
O14907	P48050	16	22	30	0	0	0	0	0	0	0	0	0	10	0	0.0128003121328	0.0151446123989	nob
P0A7L3	P0AG48	18	15	0	0.995	0	0.156	0	0.487	0.989	0.9	0.142	0	14	0	1.0	0	ob
P52565	P61586	15	24	311	0.998	0	0	0	0.097	0.803	0.9	0.921	0	10	0	0.196117765027	0.0151446123989	nob
Q16531	Q96JK2	22	14	323	0.987	0	0	0	0	0.876	0.9	0.057	0	10	0	0.672056272972	0	nob
P0A855	P0A912	14	16	16	0.999	0.395	0.743	0	0.23	0.97	0	0.694	0.82	14	0.0361519725109	1.0	0.102886619617	nob
Q96FZ7	Q9UN37	18	14	61	0.998	0	0	0	0.055	0.898	0.9	0.907	0	10	-0.0	0.773268152311	0.0151446123989	nob
Q16531	Q58WW2	22	27	325	0.988	0	0	0	0.067	0.87	0.9	0.126	0	10	0	0.672056272972	0.0151446123989	nob
P02753	P02766	11	11	91	0.993	0	0	0	0.119	0.688	0.9	0.778	0	10	0	0.196117765027	0.0151446123989	ob
P68431	Q03164	26	17	579	0.461	0	0	0	0.054	0.259	0.9	0.293	0	19	0.328698515619	0.194840744558	0.523996724343	nob
O75340	Q8WUM4	13	19	266	0.854	0	0	0	0.054	0.446	0	0.743	0	10	0.0878609430863	0.196117765027	1.0	nob
P11474	Q9UBK2	18	12	108	0.994	0	0	0	0	0.721	0.9	0.824	0	10	0	0.111405900328	0.348707190536	nob
O43745	P19634	14	18	46	0.961	0	0	0	0.052	0.896	0	0.633	0	10	0.9138045368	0.208234049197	0.0151446123989	nob
Q03067	Q6WNK7	20	17	173	0.998	0	0	0	0	0.911	0.9	0.873	0	10	0	0.970113239452	0.451059522374	nob
P32909	Q12186	24	27	92	0.67	0	0	0	0.079	0.577	0	0.222	0	10	-0.0	0.260366999719	0	nob
P08191	P31697	18	14	7	0.997	0	0.747	0	0.107	0.985	0	0.648	0.58	12	0	-0.0	0.102886619617	ob
P04632	P17655	4	23	121	0.98	0	0	0	0.055	0.785	0.9	0.09504	0	10	0	0.196117765027	0.0151446123989	ob
O00213	P05067	9	6	2215	0.999	0	0	0	0.079	0.971	0.8	0.841	0	10	0.407405258824	0.586482844419	0.0151446123989	nob
Q15797	Q9HCE7	24	22	586	0.984	0	0	0	0.055	0.683	0.9	0.53	0	10	0.566764681756	0.140336661817	0.969506369834	nob
P05067	P08253	6	19	2162	0	0	0	0	0	0	0	0	0	10	0.282495623419	0.175247560727	0.0151446123989	nob
O60341	O95863	10	19	585	0.906	0	0	0	0	0.774	0	0.603	0	10	0.300324837308	0.0818470781615	0.242362391951	nob
O43521	Q16548	8	13	104	0.963	0	0	0	0	0.928	0	0.504	0	10	0	0	0.0151446123989	nob
P0CX84	Q12690	20	22	52	0.999	0	0	0	0.997	0.951	0.8	0.394	0	11	0	0.612717700806	0	ob
Q15788	Q96RI1	27	13	152	0.995	0	0	0	0	0.939	0.9	0.364	0	10	0.241033199521	0.459103544489	0.430480827809	nob
P01160	P14735	23	20	133	0	0	0	0	0	0	0	0	0	10	0.248856298566	-0.0	0.301505855981	nob
Q15369	Q96DX5	19	12	214	0.951	0	0	0	0	0.417	0.9	0.236	0	10	0	0	0.0151446123989	ob
P15705	P22202	24	19	119	0.98	0	0	0	0.433	0.871	0	0.746	0	11	0	0.0595338560881	0	nob
P02293	P40019	32	25	257	0.949	0	0	0	0	0.921	0	0.391	0	10	0.333214927336	0.135507232266	0.0640990230188	nob
P06213	P35568	10	23	173	0.999	0	0	0	0	0.901	0.9	0.98	0	10	0.736387104757	0.633123239439	0.776435074828	nob
P13393	P32773	17	16	177	0.992	0	0	0	0.067	0.96	0	0.821	0	10	0.752957293173	0.53859086016	0.48525410079	ob
P32379	P40303	23	26	152	0.999	0	0.067606	0	0.979	0.997	0.958	0.119042	0	11	1.0	0.834681815052	0	ob
P11831	P28324	9	18	72	0.947	0	0	0	0.042	0.666	0.8	0.273	0	10	0.163737920975	0.0818470781615	0.353490702462	ob
P49407	P63010	30	18	451	0.969	0	0	0	0	0.669	0.9	0.141	0	10	0	-0.0	0.0151446123989	nob
P32379	P40302	23	16	148	0.999	0	0.066432	0	0.958	0.997	0.958	0.090201	0	11	1.0	0.834681815052	0	ob
P0AB98	P68699	24	7	1	0.999	0	0.698	0	0.804	0.991	0.919	0.368	0.78	14	0	0.286032818035	0	ob
P52292	Q14974	23	20	511	0.915	0	0	0	0.045	0.57	0.8	0.047736	0	11	0.490041262424	0.140336661817	0.242362391951	nob
P40482	Q01590	11	14	204	0.995	0	0	0	0.08	0.654	0.9	0.866	0	10	0.627477719174	0.383978234172	0.0640990230188	nob
P0AC44	P69054	28	24	3	0.999	0	0.781	0	0.801	0.99	0.964	0.586	0.886	14	0	0.124861284233	1.0	ob
O60673	Q9UI95	15	17	91	0.999	0	0	0	0.047	0.902	0.9	0.937	0	10	0	0.928474065605	0.0151446123989	nob
P41182	Q6W2J9	22	16	283	0.999	0	0	0	0	0.984	0.9	0.721	0	10	0.300324837308	0.0818470781615	0.0151446123989	nob
O15234	P38919	25	24	339	0.999	0	0	0	0	0.976	0.9	0.925	0	10	0	0.690870054627	0.241163816843	nob
P06400	Q01094	24	14	425	0.999	0	0	0	0.229	0.984	0.9	0.821	0	10	0.561675593902	0.928474065605	0.676974486657	nob
P63098	Q08209	24	21	116	0.999	0	0.243	0	0.106	0.968	0.9	0.896	0	10	1.0	0.886634076156	0.920364566868	ob
Q07817	Q14457	23	29	250	0.985	0	0	0	0.078	0.909	0	0.839	0	10	0.0157964442949	0.140336661817	0.242362391951	nob
O43566	P63096	21	19	102	0.998	0	0	0	0.053	0.975	0.9	0.307	0	10	0	0.314429079925	0.0151446123989	nob
P10412	Q13185	30	12	240	0.407	0	0	0	0	0.36	0	0.112	0	10	0	0.720555999572	0.0151446123989	nob
O60671	O60921	18	18	66	0.999	0	0	0	0.096	0.997	0.9	0.689	0	10	0.610611789418	0.0818470781615	0.0151446123989	ob
P46937	Q15797	9	24	332	0.956	0	0	0	0.043	0.768	0.8	0.134	0	10	0.309024131418	0.247753286124	0.353490702462	nob
P12612	P40413	11	11	116	0.999	0	0	0	0.98	0.988	0.9	0.16564	0	10	0.494140562128	0.775036565185	1.0	ob
P01730	P04229	21	20	97	0	0	0	0	0	0	0	0	0	9	0	0.351684860246	0.0151446123989	ob
P19524	P53141	12	17	244	0.998	0	0	0	0.042	0.992	0	0.73	0	10	0.41656631168	0.530826099459	0.496522900626	nob
P03951	P05067	26	6	2123	0.85	0	0	0	0.054	0.815	0	0.215	0	10	0.40484681435	0.196117765027	0.0151446123989	nob
P16104	Q6ZW49	11	18	556	0.966	0	0	0	0.051	0.55	0.9	0.304	0	10	0.108694464423	0.139730863604	0.0151446123989	nob
P19634	Q99653	18	23	56	0.993	0	0	0	0.052	0.884	0.9	0.471	0	10	0.863383423096	0.384617586493	0.610141273566	nob
Q8WUW1	Q92558	25	13	83	0.992	0	0	0	0	0.779	0.9	0.675	0	10	0	0	0.0151446123989	ob
Q15554	Q9BSI4	19	19	473	0.998	0	0	0	0.064	0.954	0.9	0.761	0	10	0.282061965227	0.87790081808	0.638060825053	nob
O14810	P63027	12	18	119	0.973	0	0	0	0.055	0.368	0.9	0.61	0	10	0	0	0	ob
Q15631	Q99598	19	24	176	0.999	0	0	0	0.12	0.995	0.9	0.29348	0	10	0	0	0.0151446123989	ob
Q6NXT2	Q9UPP1	29	19	89	0	0	0	0	0	0	0	0	0	10	0	0.176552540083	0.452228231732	nob
P0A8Q0	P0A8Q3	21	15	0	0.999	0	0.782	0	0.66	0.991	0.966	0.515	0.874	14	0	1.0	1.0	ob
P39081	Q08685	16	20	118	0.999	0	0	0	0	0.972	0.72	0.893	0	10	1.0	0.696144284407	0.313475624888	nob
P08581	P22681	14	12	433	0.969	0	0	0	0	0.509	0.9	0.426	0	10	0	0.208234049197	0.0151446123989	nob
O14508	Q15369	14	19	203	0.988	0	0	0	0	0.97	0	0.626	0	10	0	0	0.0151446123989	ob
P21333	P26010	10	16	351	0.993	0	0	0	0.072	0.965	0.8	0.074	0	10	0	0.247753286124	0.0151446123989	nob
P05106	P06756	12	28	111	0.996	0	0	0	0.043	0.876	0.9	0.758	0	10	0.758217803333	0.928474065605	0.828731307011	ob
P55201	Q71DI3	20	26	150	0.935	0	0	0	0.054	0.339	0.9	0.088	0	10	0.328698515619	0.194840744558	0.0151446123989	nob
P55072	Q9UKV5	15	27	775	0.993	0	0	0	0.049	0.804	0.9	0.698	0	10	0.66909398061	0.752560921003	0.948926597865	nob
P20963	P43403	20	10	96	0.991	0	0	0	0.423	0.407	0.9	0.774	0	10	0	0.743582207366	0.0151446123989	nob
P38629	P40348	12	19	121	0.999	0	0.071484	0	0.927	0.997	0.958	0.123728	0	10	1.0	0.928779226847	1.0	ob
O43559	Q9UM73	15	22	174	0	0	0	0	0	0	0	0	0	10	0	0	0.750180418479	nob
Q07869	Q9Y618	22	18	189	0.995	0	0	0	0	0.936	0.9	0.341	0	10	0.3638230621	0.139730863604	0.242362391951	nob
P08518	P22139	19	24	243	0.999	0	0	0	0.055	0.999	0.9	0.929	0.056	10	0	0.752991630302	1.0	nob
P39078	P42943	18	23	111	0.997	0	0	0	0.834	0.854	0.9	0.164736	0	10	0.494140562128	0.775036565185	1.0	ob
P23638	P23639	18	16	168	0.999	0	0.0735	0	0.982	0.997	0.958	0.11172	0	11	1.0	0.834681815052	0.0640990230188	ob
P68431	Q9UPN9	26	9	545	0.9	0	0	0	0.09	0.133	0.9	0.000451	0	19	0.152177194915	0.0818470781615	0.0151446123989	nob
P63165	Q9P0U3	19	13	295	0.997	0	0	0	0.054	0.698	0.9	0.932	0	10	0	0.414215145898	0.163146898342	nob
P25054	Q12959	14	20	377	0.928	0	0	0	0.132	0.106	0.9	0.189	0	10	0.439267745617	0.621956667645	0.408940657615	nob
P23615	Q06505	12	16	66	0.999	0	0	0	0.149	0.993	0	0.939	0	10	0.351342757447	0	0.719103194729	nob
P11349	P11350	15	18	7	0.999	0	0.782	0	0.723	0.832	0.966	0.453	0.903	14	0	1.0	1.0	ob
P20248	P28749	12	12	220	0.986	0	0	0	0.198	0.521	0.9	0.696	0	10	0.232721873661	0.129736483021	0.0151446123989	nob
P25942	Q12933	12	28	736	0.985	0	0	0	0	0.663	0.9	0.609	0	10	0.285801501591	0.0277533610285	1.0	nob
P63146	Q9NS91	22	23	179	0.999	0	0	0	0	0.993	0.9	0.703	0	10	0.564191862791	0.664311594315	1.0	nob
P0A7R5	P0AG59	23	23	1	0.999	0	0.236	0	0.98	0.988	0.22	0.37	0.545	14	0.302745960792	1.0	-0.0	ob
O00482	Q15596	16	26	100	0.983	0	0	0	0	0.978	0	0.247	0	10	0	0.0818470781615	0.0151446123989	nob
P28630	P28631	14	11	46	0.999	0	0.275	0	0.062	0.988	0.964	0.534	0	14	0.594153987365	0.745921597492	0.102886619617	ob
P06609	P37028	18	22	1	0.993	0	0.749	0	0.058	0.775	0.677	0.539	0.342	14	1.0	0.00406794489623	0.0513713492484	ob
P00533	Q13191	15	18	1194	0.988	0	0	0	0	0.785	0.9	0.523	0	10	0	0.111405900328	0.0151446123989	nob
P54098	Q9UHN1	11	15	31	0.993	0	0	0	0.094	0.911	0	0.919	0	10	0	0.621956667645	0.0151446123989	ob
P26785	P36105	11	17	123	0.998	0	0	0	0.995	0.645	0	0.293	0.066	10	0	0.612717700806	1.0	ob
P07648	P08394	11	28	2	0.999	0	0.778	0	0.393	0.981	0.9	0.957	0.666	14	0.769454721539	1.0	0.770121204238	ob
P62314	P62316	20	23	272	0.999	0	0	0	0.645	0.989	0.9	0.886	0	10	0.641030982614	0.815108141761	0.241163816843	ob
O43597	P22681	20	12	473	0.978	0	0	0	0	0.676	0.9	0.391	0	10	0	0.0198939336995	0.0151446123989	nob
P30622	Q9P270	28	15	91	0	0	0	0	0	0	0	0	0	10	0	0.791968907618	0.0151446123989	nob
P38251	P38630	16	26	98	0.999	0	0	0	0.111	0.997	0.9	0.732	0	10	1.0	0.928779226847	1.0	ob
P25942	Q13114	12	17	210	0.991	0	0	0	0.089	0.591	0.9	0.796	0	10	0	0	1.0	nob
O75164	P68431	23	26	499	0.408	0	0	0	0.054	0.063	0.9	0.386	0	19	0.328698515619	0.176552540083	0.523996724343	nob
P16410	P33681	12	19	25	0.999	0	0	0	0	0.873	0.9	0.962	0	10	0.0723703227921	0.690870054627	0.0151446123989	nob
P10997	P14735	21	20	85	0.74	0	0	0	0	0.36	0	0.611	0	10	0.481859482321	0.0198939336995	0.750180418479	nob
Q06339	Q12308	29	22	30	0.999	0	0	0	0.084	0.972	0.9	0.898	0	10	1.0	0.855023979722	1.0	ob
O43157	Q9NZN5	14	17	56	0.981	0	0	0	0.053	0.399	0.9	0.71	0	10	0.173370983061	0.0128003121328	0.0151446123989	nob
Q13620	Q86VP6	29	20	1006	0.836	0	0	0	0.121	0.705	0	0.417	0	10	0.31040183307	0.520744788305	0.0151446123989	ob
P0A8S9	P0ABY7	15	17	8	0.999	0	0.782	0	0.577	0.99	0	0.752	0.886	13	0.626795945312	0	0	ob
P04637	P31947	23	19	1460	0.979	0	0	0	0.053	0.36	0.9	0.708	0	10	0.818503754541	0.13189036997	0.750180418479	nob
P30130	P31697	20	14	7	0.996	0	0.782	0	0.081	0.863	0	0.72	0.658	12	0.0361519725109	0.350057483021	-0.0	ob
Q13616	Q86VP6	22	20	1370	0.982	0	0	0	0.185	0.945	0	0.646	0	10	0.347764687168	0.520744788305	0.0151446123989	ob
P01892	Q92959	26	20	12	0	0	0	0	0	0	0	0	0	9	0	0	0	nob
O15392	Q9NR28	13	18	138	0.972	0	0	0	0.047	0.382	0.8	0.794	0	10	0	0.0659936609415	0.0151446123989	nob
P06213	Q14449	10	10	127	0.975	0	0	0	0	0.4	0.9	0.631	0	10	0	0.208234049197	0.301505855981	nob
Q7RTN6	Q9Y376	22	16	71	0.998	0	0	0	0.128	0.866	0.9	0.915	0	10	0.411353430272	0.0277533610285	0.719164128002	ob
P08069	P35568	26	23	175	0.996	0	0	0	0	0.529	0.9	0.932	0	10	0.842331631304	0.208234049197	0.776435074828	nob
P28347	P46937	24	9	192	0.998	0	0	0	0.118	0.897	0.9	0.86	0	10	0.134181705025	0.928474065605	1.0	nob
